,title,upload_date,view_count,y,p
247,Ep. 16 Today we're exploring Kaggle and the planet dataset!,2020-12-17,4,1,0.400266644055874
253,TWIML Kaggle Meetup Summer 2020 - 09/12/2020,2020-12-14,3,0,0.444888866278096
256,How to Use Kaggle's Dataset in Google Colab - Data Drive - Urdu / Hindi,2020-12-10,10,0,0.424767123287671
258,Intro to Machine Learning Lesson 1: How Models Work | Kaggle,2020-12-10,6705,0,0.428
265,Лучшее место для практики в data science - Kaggle: Что это и зачем он вам.,2020-12-07,3324,0,0.520087046784449
267,2 Housing Price Kaggle,2020-12-02,5,0,0.441888866278096
272,"""Kaggle: command not found fix"" for Mac Users",2020-11-30,17,0,0.514974977389207
273,1.9 Adding Bio in Kaggle Profile,2020-11-30,18,0,0.494622222222222
274,1.7 Understanding the Tier Systems in Kaggle,2020-11-30,3,0,0.518145586708204
276,All you need to know about Kaggle | What is Kaggle | Kaggle Competitions | Great Learning,2020-11-30,4333,0,0.457711628260227
279,Funny reaction when your Kaggle submission improves,2020-11-09,19,1,0.425888866278096
283,Pneumonia Classification on X-rays using TensorFlow and Tensor Processing Units (TPUs) | Kaggle,2020-11-03,13220,1,0.403000935756091
285,KAGGLE API USNG PYTHON | JUPYTER NOTEBOOKS | DATASET DOWNLOADS,2020-10-25,232,0,0.420704116437668
287,Best Way To Learn Data Science For Free From Kaggle.com,2020-10-25,118,0,0.490211949829539
288,Kaggle competition: Identify toxic comments in multiple languages,2020-10-23,193,0,0.479985859478568
290,Learn With Me: Troubleshooting and Optimizing for Tensor Processing Units (TPUs) | Kaggle,2020-10-20,2552,0,0.525193713580104
292,Interview with Competitions Grandmaster Mario Filho (in Brazilian Portuguese)| Kaggle,2020-10-13,2155,1,0.496246794996739
293,Interview with Competitions Grandmaster Halla Yang | Kaggle,2020-10-13,5040,0,0.482138649467206
294,Interview with Notebooks and Discussions Grandmaster Andrey Lukyanenko | Kaggle,2020-10-13,2148,1,0.408601633706416
295,Interview with Kaggle Grandmaster Nima Shahbazi | Kaggle,2020-10-13,1636,0,0.454371526179535
296,Interview with Competitions Grandmaster 詹 金 senkin13 (in Chinese) | Kaggle,2020-10-13,920,0,0.479246794996739
297,Más Kaggle Notebooks y Pytorch Lightning,2020-11-04,132,0,0.411061247634658
298,Interview with Competitions Grandmaster Julian de Wit | Kaggle,2020-10-13,1226,0,0.454371526179535
299,Interview with Competitions Grandmaster Dmitry Efimov | Kaggle,2020-10-13,1636,1,0.454371526179535
94,Deep Neural Network in Machine Learning,2021-01-14,6077,1,0.333
89,Ranking Machine Learning Methods | Machine Learning Tier List,2021-01-18,22283,0,0.188
170,18th workshop| Supervised Learning |30 days of Free Certified Applied Data Science Workshop.,2021-01-28,283,0,0.335988486640618
155,| APSSDC |Online Exam on Data Science and AI using Python in Collaboration With Naresh Technologies|,2021-01-28,751,0,0.285817611015088
262,Intro to Machine Learning Lesson 3: Your First Machine Learning Model | Kaggle,2020-12-10,2256,0,0.123
48,Reinforcement Learning (RL) Open Source Fest Day 1 Demos,2021-01-28,1031,1,0.311292571316345
55,Day-4# Machine Learning With Python | 30 Days Free Workshop,2021-01-28,571,0,0.282905518293765
158,Do's & Don't(s) in Data science.,2021-01-28,7,1,0.65064684992313
58,L1.5 Necessary Machine Learning Notation and Jargon,2021-01-28,37,0,0.021
88,Time Series Forecasting with Machine Learning,2021-01-19,1780,1,0.171
81,Internship 2021 | Freshers Hiring | C++ | Python | Java |machine learning | international internship,2021-01-26,27914,0,0.297
282,Kaggle Mini Courses - Intro to Deep Learning,2020-11-04,87,0,0.248124254484662
249,TWIML Kaggle Meetup Summer 2020 - 11/28/2020,2020-12-14,0,0,0.611913888888889
269,Roxy AI でKaggle(Class1) 3分間チャレンジ,2020-12-02,12,0,0.383291666666667
175,Data Science Essential Program | Jan 2021 - Batch 1 |  Day 3 | LetsUpgrade,2021-01-28,1467,0,0.239365998111862
98,How to use Machine Learning AI Vision with Unity ML-Agents!,2021-01-10,8737,0,0.265453905390539
171,Data Science Student Spotlight - Rachel,2021-01-28,1,0,0.716999291746453
54,Koch Industries is Revolutionizing Industrial Operations Using AWS Machine Learning,2021-01-28,609,0,0.109956308851224
130,Data Science Essential Program | Jan 2021 - Batch 1 |  Day 4 | LetsUpgrade,2021-01-29,369,0,0.131133121399534
40,Machine Learning for Algorithmic Trading with Stefan Jansen,2021-01-28,299,1,0.258451612903226
234,How To Delete Kaggle Account | 2021 | #Shorts,2020-12-30,7,0,0.342
50,"MLCommons: Accelerating Machine Learning Diane Feddema/Red Hat,Peter Mattson,David Kanter/ MLCommons",2021-01-28,2,0,0.205
84,What is Machine Learning ?,2021-01-25,803,0,0.203235332995465
255,Best NLP competitions on Kaggle (to learn from),2020-12-13,9172,1,0.353331491311646
151,FREE Bootcamp on Data Science & Full Stack Development | Experience Life Of Data Scientist/Web Dev,2021-01-29,161,0,0.33712596677975
78,"#PrograMariaEncontros powered by Avanade | Machine Learning: Cases, práticas e tendências",2021-01-26,1419,0,0.167
63,Machine Learning and CAE Video Series - Machine Learning,2021-01-28,53,1,0.031
52,Machine Learning Mask Removal,2021-01-28,761,1,0.101
142,#Introduction to Meta Data | #Meta Data | #Big Data | #Data Mining |#Data Science:-,2021-01-29,13,0,0.107525448028674
93,Reinforcement Learning | Reinforcement Learning In Python | Machine Learning Tutorial | Simplilearn,2021-01-15,1897,1,0.302451612903226
72,Day-3# Machine Learning With Python | 30 Days Free Workshop,2021-01-27,2449,0,0.319905518293765
