,title,upload_date,view_count,y,p
179,iPad as My New Data Science Machine?,2021-01-28,34,,0.3788304630573529
239,How to Get Data from BigQuery Database in Telugu | Kaggle BigQuery API in Python | Jp NaN ML,2020-12-20,132,,0.2616703490941228
97,How to Become a Machine Learning Engineer | Machine Learning Roadmap 2021 | Edureka,2021-01-11,5936,,0.171
234,How To Delete Kaggle Account | 2021 | #Shorts,2020-12-30,7,,0.342
142,#Introduction to Meta Data | #Meta Data | #Big Data | #Data Mining |#Data Science:-,2021-01-29,13,,0.10752544802867384
30,Machine-learning to predict the performance of organic solar cells,2021-01-29,37,,0.2059058527553142
275,1.6 How to Improve your Kaggle Rankings?,2020-11-30,3,,0.3484516129032258
133,Using AI and Citizen Data Science To Do Good,2021-01-29,75,,0.19126922391831414
238,Laura Fink: Journey to becoming Kaggle Kernels Grandmaster,2020-12-20,367,,0.2731957971227966
135,So I Learned SQL For Data Science And.....,2021-01-29,84,,0.6580274773019348
52,Machine Learning Mask Removal,2021-01-28,761,,0.101
